stakes,story,response,response
high,bank,Do the present employees have criminal records?,1
high,bank,Do we have a list of all the employees that were scheduled to work that day?,1
high,bank,Do you have a copy of employee schedules? ,1
high,bank,Has anyone spoken to an employee,1
high,bank,How many employees are there?,1
high,bank,Was any security camera recording that area at the time?,1
high,bank,What do you recall at the time of the crime?,1
high,bank,What employees were present during the robbery?,1
high,bank,What employees were present when the documents went missing? ,1
high,bank,What employees were working that day?,1
high,bank,Where are the employees,1
high,bank,Where can i find the bank employees?,1
high,bank,Where were at the time this incident occurred?,1
high,bank,Where were the files hidden and who had access,1
high,bank,Where were you during the theft?,1
high,bank,Where were you during the time the files were stolen?,1
high,bank,Where were you when the documents went missing?,1
high,bank,Which employee will benefit from taking the documents? ,1
high,bank,Which employees at the bank were clocked in during the time of the theft?,1
high,bank,Which employees were at the scene of the crime that day?,1
high,bank,Which employees were on shift around the time the files went missing?,1
high,bank,Which employees were present at the time of the crime?,1
high,bank,Which employees were present during the theft?,1
high,bank,Which employees were present during the time of the crime?,1
high,bank,Which employees were present when the documents went missing?,1
high,bank,Which employees were working on the day that the files disappeared?,1
high,bank,Which employees were working when the documents went missing?,1
high,bank,Which employees were working when they were stolen?,1
high,bank,Who had access to the missing documents?,1
high,bank,Who was clocked in at the same time the files went missing?,1
high,bank,Who was clocked in at the time of the theft?,1
high,bank,Who was here during the theft?,1
high,bank,Who was present during the theft ,1
high,bank,Who was working the day the documents went missing?,1
high,bank,Who was working when the files disappeared?,1
high,bank,Who was working when the files went missing?,1
high,envelopes,Are the officers near the location?,1
high,envelopes,Are there offices all near each other?,1
high,envelopes,Can someone make a list of all these officials' home addresses?,1
high,envelopes,Can you create a list for all government official office locations,1
high,envelopes,Do you have any leads?,1
high,envelopes,How closely are the offices located?,1
high,envelopes,How should we split up?,1
high,envelopes,What locations have been hit so far,1
high,envelopes,What locations have you found are related to where this citizen has sent the envelopes out from?,1
high,envelopes,What offices has these suspicious envelopes been sent to so far?,1
high,envelopes,What offices have been sent these envelopes?,1
high,envelopes,What offices have received these envelopes? ,1
high,envelopes,What offices have we already found?,1
high,envelopes,What offices received suspicious envelopes?,1
high,envelopes,Where are all of the locations of the offices that the suspicious mail was sent to?,1
high,envelopes,Where are the government officials that were sent the envelopes?,1
high,envelopes,Where are the offices located?,3
high,envelopes,Where are the offices that are most likely to be impacted?,1
high,envelopes,Where are the offices that recieved letters?,1
high,envelopes,Where are the offices that were sent suspicious envelopes? ,1
high,envelopes,Where is the nearest location?,1
high,envelopes,Where is the office?,1
high,envelopes,Where should i send my teams?,1
high,envelopes,Which locations do you think they were sent to?,1
high,envelopes,Which locations should we send the teams to?,1
high,envelopes,Which offices did the letters come from?,1
high,envelopes,Which offices had envelopes sent to them recently?,1
high,envelopes,Which offices have been receiving these suspicious envelopes?,1
high,envelopes,Which offices have received mail?,1
high,envelopes,Which offices have received suspicious envelopes?,1
high,envelopes,Which offices received letters?,1
high,envelopes,Which offices were sent the envelopes? ,1
high,envelopes,Which offices were the envelopes sent to?,1
high,envelopes,Which officials in the offices got envelopes? ,1
high,fire,Are the tenants able to get out of their houses?,1
high,fire,Are their any tenants left in the building?,1
high,fire,Are they any tenants left in the building or is everyone outside?,1
high,fire,Are you ready?,1
high,fire,Did you check all the rooms for life ,1
high,fire,Do we know how many tenants are home?,1
high,fire,Do we want to split up into multiple teams so we can cover as many units as possible?,1
high,fire,Do you know your assignments?,1
high,fire,Do you think you could save the tenants?,1
high,fire,How many have you saved so far?,1
high,fire,How many people are in the building?,1
high,fire,How many people are on each floor?,1
high,fire,How many people are still in the building?,1
high,fire,How many people live in here?,1
high,fire,How many tenants are in the building?,1
high,fire,How many tenants live here?,2
high,fire,How many tenants live in this apartment building?,1
high,fire,How many tenants were in the building? ,1
high,fire,Is anyone missing?,1
high,fire,Is anyone still inside?,1
high,fire,Is everyone here,1
high,fire,What apartments are closest to the fire?,1
high,fire,What floors are most of the tenants on?,1
high,fire,Where are all of the tenants located?,1
high,fire,Where are most of the tenants located in the building?,1
high,fire,Where are the most tenants located?,1
high,fire,Where are the remaining tenants located?,1
high,fire,Where are the tenants located?,1
high,fire,Where are the tenants?,1
high,fire,Where are the tenants? ,1
high,fire,Where do most tenants tend to be?,1
high,fire,Where do the tenants live in the building?,1
high,fire,Which apartment or floor did the fire start on?,1
high,fire,Which apartments have tenants in them?,1
high,fire,Which floor caught on fire and how many people are in this complex,1
high,gas,Are all the emergency exits unobstructed?,1
high,gas,Can someone send out an announcement over the loudspeaker?,1
high,gas,Can you help get people out,1
high,gas,Can you split up and tell people on different floors to evacuate?,1
high,gas,How do you think we should evacuate everyone from the building?,1
high,gas,How many offices need to be evacuated?,1
high,gas,How many people are in the building and how quickly can we get them out?,1
high,gas,How should we evacuate these people safely and quickly?,1
high,gas,How should we evacuate these people?,1
high,gas,How should we go about the evacuation?,1
high,gas,Is everyone evacuated? ,1
high,gas,Is there a protocol in place in the event of a gas leak?,1
high,gas,What are the possible evacuation options?,1
high,gas,What exits can we evacuate people through?,1
high,gas,What floor do you want to evacuate?,1
high,gas,What is the best way to get everyone out of here?,1
high,gas,What is the plan for evacuation? ,1
high,gas,What is the quickest and safest way to evacuate people? ,1
high,gas,What is the safest and shortest escape route?,1
high,gas,What is the typical evacuation procedure? ,1
high,gas,Whats the evacuation plan ?,1
high,gas,Whats the fastest way to evacuate people?,1
high,gas,Where are the closest exits?,1
high,gas,Where are the emergency exits located?,2
high,gas,Where are the evacuation routes?,1
high,gas,Where are the exit doors located?,1
high,gas,Where are the exits?,1
high,gas,Where are the nearest exits in the building to evacuate people?,1
high,gas,Where are the peopel,1
high,gas,Where are the people that we need to evacuate?,1
high,gas,Where is the closest exit,1
high,gas,Where is the nearest exit?,1
high,gas,Which exit should we evacuate people from?,1
high,gas,Which exits are clear?,1
high,gas,Which exits are the best ways to evacuate?,1
high,oyster,Are the contaminated oysters from a concentrated area?,1
high,oyster,Can we get a list of oyster distribution within the region?,1
high,oyster,Can you track down the contaminated oysters?,1
high,oyster,Can you track the locations of the oysters?,1
high,oyster,Have you found the locations of any contaminated oysters?,1
high,oyster,Make sure you find it ,1
high,oyster,What locations were oysters sent to?,1
high,oyster,What restaurants get their oysters from the mid-atlantic?,1
high,oyster,What restaurants received this supply of oysters?,1
high,oyster,What restaurants were sold the contaminated oysters?,1
high,oyster,Where are the contaminated oysters?,1
high,oyster,Where are the contaminated oysters? ,1
high,oyster,Where are the most contaminated oysters found?,1
high,oyster,Where are the oysters being purchased from?,1
high,oyster,Where are the oysters concentrated the most?,1
high,oyster,Where are the oysters located?,2
high,oyster,Where are the restaurants that were most impacted by the contaminated oysters?,1
high,oyster,Where did they come from,1
high,oyster,Where have the contaminated oysters come from?,1
high,oyster,Where have the oysters been delivered to?,1
high,oyster,Where is the nears restaurant that was sold oysters?,1
high,oyster,Where were the contaminated oysters sold to?,1
high,oyster,Which farm grew the contaminated oysters?,1
high,oyster,Which locations were the oysters sold,1
high,oyster,Which region did the oysters come from?,1
high,oyster,Which restaurants bought oysters from the contaminated region?,1
high,oyster,Which restaurants bought oysters?,1
high,oyster,Which restaurants got delivered oysters?,1
high,oyster,Which restaurants offeroysters on the menu?,1
high,oyster,Which restaurants purchased these oysters?,1
high,oyster,Which restaurants sell oysters?,1
